GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"""48043""","Brewster, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,92.285,93.408,107.217,108.965,104.015,105.286,96.840,93.555,98.450,102.059,101.128,100.000,102.272,102.157,101.801,99.069,98.822,101.785,106.786
"""48043""","Brewster, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,243083,251732,294962,309057,304208,318881,304406,300252,321963,337572,340329,343713,359509,364727,367522,362430,367793,388460,418035
"""48045""","Briscoe, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,50553,51588,56582,49996,60929,53344,65200,41033,61196,74649,44660,38400,63568,38627,61236,88820,98665,113163,106952
"""48045""","Briscoe, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,131.650,134.345,147.350,130.199,158.670,138.917,169.793,106.857,159.366,194.400,116.303,100.000,165.542,100.591,159.471,231.302,256.940,294.697,278.521
"""48045""","Briscoe, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,33923,33786,39311,38026,44388,39452,54487,34766,50198,65844,43704,38400,65047,39126,63252,90788,103217,120159,114994
"""48047""","Brooks, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,933055,1619393,1198108,987644,904803,802546,732360,593179,613479,453875,415515,379273,370994,443708,413584,349130,362594,360322,372996
"""48047""","Brooks, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,246.011,426.973,315.896,260.404,238.562,211.601,193.096,156.399,161.751,119.670,109.556,100.000,97.817,116.989,109.046,92.052,95.602,95.003,98.345
"""48047""","Brooks, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,439779,641684,722338,709293,861581,774719,751828,786933,492806,443975,443872,379273,385532,457219,320506,259980,293409,309433,310787
"""48049""","Brown, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1086576,1123385,1146842,1209017,1252340,1246851,1230641,1197386,1209124,1181968,1184052,1186507,1197402,1239019,1282304,1292176,1322227,1327511,1341005
"""48049""","Brown, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,91.578,94.680,96.657,101.897,105.548,105.086,103.720,100.917,101.906,99.618,99.793,100.000,100.918,104.426,108.074,108.906,111.439,111.884,113.021
"""48049""","Brown, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,833347,874844,906667,987439,1069574,1124304,1142516,1135820,1143487,1143549,1167687,1186507,1224818,1294680,1365614,1401157,1458229,1497619,1548092
"""48051""","Burleson, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,664484,724548,614020,569614,571791,627182,623276,632395,660604,640145,696440,697162,690101,878635,1109327,1050063,1209417,1506935,1712129
"""48051""","Burleson, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,95.313,103.928,88.074,81.705,82.017,89.962,89.402,90.710,94.756,91.822,99.897,100.000,98.987,126.030,159.120,150.620,173.477,216.153,245.586
