quantity_index,thousands_chained_2012_$_2019,thousands_$_2019,GeoFIPS,fips_clipped
379.512,6430657.0,3262126.0,"""48383""",48383
120.841,68586.0,80470.0,"""48385""",48385
125.55,292218.0,309355.0,"""48387""",48387
1179.148,16078286.0,8868765.0,"""48389""",48389
71.741,503454.0,376179.0,"""48391""",48391
75.79,930064.0,449424.0,"""48393""",48393
132.209,2844267.0,2182370.0,"""48395""",48395
145.519,3019931.0,3450776.0,"""48397""",48397
99.73,339181.0,358448.0,"""48399""",48399
94.907,2797617.0,2571159.0,"""48401""",48401
87.287,255928.0,288533.0,"""48403""",48403
190.62,1238645.0,780025.0,"""48405""",48405
102.926,323726.0,352063.0,"""48407""",48407
103.141,2555679.0,2860983.0,"""48409""",48409
127.9,174901.0,201600.0,"""48411""",48411
88.528,191740.0,154708.0,"""48413""",48413
82.606,2405286.0,1677683.0,"""48415""",48415
83.659,298075.0,272831.0,"""48417""",48417
123.206,1503178.0,1217902.0,"""48419""",48419
132.621,523876.0,362708.0,"""48421""",48421
107.611,10389548.0,11265333.0,"""48423""",48423
86.397,1110367.0,1262549.0,"""48425""",48425
111.668,1457195.0,1401477.0,"""48427""",48427
89.886,548501.0,439990.0,"""48429""",48429
85.423,312247.0,247515.0,"""48431""",48431
108.16,271567.0,157313.0,"""48433""",48433
64.315,368339.0,308181.0,"""48435""",48435
184.647,658065.0,517157.0,"""48437""",48437
115.884,106860255.0,119834428.0,"""48439""",48439
110.063,6079138.0,6934438.0,"""48441""",48441
81.677,162027.0,97652.0,"""48443""",48443
91.817,817722.0,628615.0,"""48445""",48445
116.651,146955.0,90317.0,"""48447""",48447
75.166,1796056.0,1985300.0,"""48449""",48449
113.18,5388284.0,5920705.0,"""48451""",48451
151.247,112944854.0,125274912.0,"""48453""",48453
104.591,224569.0,261373.0,"""48455""",48455
101.242,447315.0,434511.0,"""48457""",48457
110.004,876982.0,887712.0,"""48459""",48459
247.13,8124041.0,4022789.0,"""48461""",48461
107.292,871238.0,927518.0,"""48463""",48463
109.841,1721857.0,1955664.0,"""48465""",48465
122.799,1167200.0,1297761.0,"""48467""",48467
95.102,4191127.0,4641937.0,"""48469""",48469
111.414,2019247.0,2363004.0,"""48471""",48471
138.064,2341706.0,2640237.0,"""48473""",48473
189.713,5888166.0,3416292.0,"""48475""",48475
111.679,1732382.0,1858851.0,"""48477""",48477
132.479,12348848.0,11126450.0,"""48479""",48479
116.999,1966231.0,1980678.0,"""48481""",48481
49.77,944486.0,521752.0,"""48483""",48483
103.974,5525214.0,6143693.0,"""48485""",48485
103.988,781801.0,835922.0,"""48487""",48487
127.084,535808.0,517813.0,"""48489""",48489
121.939,20884833.0,23424315.0,"""48491""",48491
122.367,1125583.0,1070076.0,"""48493""",48493
287.668,2377053.0,1581830.0,"""48495""",48495
88.62,3505772.0,3162340.0,"""48497""",48497
122.312,1725683.0,1492831.0,"""48499""",48499
106.901,3432549.0,1974727.0,"""48501""",48501
100.156,893312.0,894892.0,"""48503""",48503
75.413,861213.0,642245.0,"""48505""",48505
183.18,1043115.0,632933.0,"""48507""",48507
