County,FIPS_int64,Number,Percentage,Rank
Val Verde County,48465,2498,7.4,590
Van Zandt County,48467,4143,9.8,1156
Victoria County,48469,8032,12.1,2575
Walker County,48471,6015,10.2,2377
Waller County,48473,3270,8.6,1564
Ward County,48475,644,7.8,848
Washington County,48477,2604,9.9,1062
Webb County,48479,13486,7.6,1122
Wharton County,48481,3352,11.3,2067
Wheeler County,48483,336,9.1,814
Wichita County,48485,12690,13.1,2920
Wilbarger County,48487,993,10.3,1643
Willacy County,48489,1116,7.2,650
Williamson County,48491,34315,8.0,1136
Wilson County,48493,3505,9.3,1179
Winkler County,48495,408,7.5,618
Wise County,48497,5144,10.1,1650
Wood County,48499,3555,9.9,705
Yoakum County,48501,428,7.7,801
Young County,48503,1329,10.0,1123
Zapata County,48505,681,7.5,613
Zavala County,48507,624,7.7,769
